nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
CrHfNbVZr,21.73469,529.769,65.5373,136.324,220.2812,174.6407,163.2771,168.9589,403.6699,0.19458,25.70862,0.033628,322.2836,0.767015,-19.41,0.046886,Cr7Hf6Nb6V7Zr6C32,-621.119,695.51,1.70%,4.73%,0.27%
CrHfNbWZr,22.40125,504.691,108.241,134.188,240.391,159.8028,154.1011,156.9519,386.6972,0.231897,20.31764,0.018164,326.1278,0.652903,-20.1431,0.038448,Cr7Hf6Nb6W7Zr6C32,-644.58,716.84,1.75%,1.71%,0.13%
CrHfTaTiV,20.7175,513.677,122.945,156.67,253.189,172.1484,170.1506,171.1495,419.0305,0.224165,22.47239,0.005836,344.9847,0.675975,-19.6731,0.009747,Cr7Hf6Ta6Ti7V6C32,-629.538,662.96,1.73%,1.55%,0.27%
CrHfTaTiW,21.20875,491.979,170.877,145.247,277.911,151.3686,151.0046,151.1866,383.9377,0.269748,16.07937,0.001204,341.0322,0.544011,-20.2589,0.029568,Cr7Hf6Ta6Ti7W6C32,-648.284,678.68,2.00%,1.30%,1.44%
CrHfTaTiZr,22.21063,476.719,119.417,149.695,238.5177,161.2774,160.0729,160.6752,393.6358,0.224943,21.40535,0.003748,328.2173,0.673641,-19.7226,0.047712,Cr7Hf6Ta6Ti7Zr6C32,-631.122,710.74,1.69%,1.62%,0.24%
CrHfTaVW,20.76,542.884,118.018,149.259,259.64,174.5286,169.411,171.9698,422.6064,0.228723,22.03213,0.014879,350.3078,0.662339,-20.2654,0.007753,Cr7Hf6Ta6V7W6C32,-648.491,664.32,1.98%,2.51%,0.17%
CrHfTaVZr,21.73,498.383,110.582,138.709,239.849,160.7856,156.5309,158.6582,389.9842,0.229007,20.78031,0.013408,325.8694,0.661492,-19.7427,0.031979,Cr7Hf6Ta6V7Zr6C32,-631.766,695.36,1.68%,1.71%,0.39%
CrHfTaWZr,22.3425,507.585,120.181,143.682,249.3157,163.69,160.2329,161.9614,399.3981,0.233004,20.65609,0.010673,337.2375,0.649624,-20.4609,0.038057,Cr7Hf6Ta6W7Zr6C32,-654.748,714.96,1.70%,1.66%,0.32%
CrHfTiVW,20.25656,575.577,99.5247,150.65,258.2088,185.6005,176.5777,181.0891,440.3289,0.21578,24.38866,0.024912,357.0201,0.701328,-19.6502,0.009191,Cr7Hf6Ti6V7W6C32,-628.805,648.21,1.64%,1.68%,0.44%
CrHfTiVZr,21.31938,448.648,103.062,141.353,218.2573,153.929,152.4483,153.1886,372.4326,0.215601,21.6832,0.004833,304.481,0.701872,-19.0621,0.029042,Cr7Hf6Ti6V7Zr6C32,-609.986,682.22,1.77%,2.37%,0.13%
CrHfTiWZr,22.00656,479.467,106.5,143.129,230.8223,160.4708,157.8038,159.1373,388.199,0.219699,21.82781,0.00838,320.8364,0.689436,-19.8211,0.009636,Cr7Hf6Ti6W7Zr6C32,-634.276,704.21,1.83%,1.72%,0.07%
CrHfVWZr,21.6025,488.313,116.657,137.438,240.5423,156.794,153.4182,155.1061,382.9971,0.234629,19.86476,0.010882,322.3499,0.644818,-19.8251,0.026895,Cr7Hf6V6W7Zr6C32,-634.404,691.28,1.75%,1.72%,0.23%
CrMoNbTaTi,20.70719,580.568,137.296,161.174,285.0533,185.3588,180.9154,183.1371,452.5049,0.235427,22.25149,0.012131,378.621,0.642466,-19.9487,0.030191,Cr7Mo6Nb6Ta7Ti6C32,-638.359,662.63,1.83%,1.57%,0.29%
CrMoNbTaV,20.38281,545.002,152.889,158.681,283.5933,173.6312,171.78,172.7056,430.6884,0.246886,20.08643,0.005359,365.7732,0.60899,-19.9579,0.009675,Cr7Mo6Nb6Ta7V6C32,-638.653,652.25,2.63%,1.88%,0.07%
CrMoNbTaW,20.96094,462.514,206.183,136.648,291.6267,133.255,133.1237,133.1894,346.7759,0.301815,12.0483,0.000493,327.2529,0.456712,-20.4716,0.019304,Cr7Mo6Nb6Ta7W6C32,-655.09,670.75,2.07%,1.62%,0.54%
CrMoNbTaZr,21.85938,470.912,152.624,145.059,258.72,150.693,150.3828,150.5379,378.2511,0.256332,17.30441,0.00103,329.9977,0.581857,-20.0054,0.037145,Cr7Mo6Nb6Ta7Zr6C32,-640.174,699.5,2.14%,2.03%,0.35%
CrMoNbTiV,19.75219,525.343,150.975,168.046,275.7643,175.7012,175.2116,175.4564,434.2675,0.237537,21.34952,0.001395,361.6509,0.636255,-19.2604,0.032725,Cr7Mo6Nb6Ti7V6C32,-616.331,632.07,4.65%,3.10%,0.12%
CrMoNbTiW,20.38656,546.869,148.009,152.479,280.9623,171.2594,168.3308,169.7951,423.9773,0.248497,19.67373,0.008624,361.0028,0.604334,-19.8083,0.013482,Cr7Mo6Nb6Ti7W6C32,-633.864,652.37,1.66%,1.62%,0.10%
CrMoNbTiZr,21.25719,459.936,149.522,148.4,252.9933,151.1228,151.0499,151.0863,378.0104,0.250975,17.86995,0.000241,325.4004,0.597195,-19.2559,0.042566,Cr7Mo6Nb6Ti7Zr6C32,-616.188,680.23,1.53%,1.71%,0.13%
CrMoNbVW,19.98344,559.179,123.914,137.065,269.0023,169.292,160.8895,165.0908,411.1605,0.245256,19.62699,0.025448,347.1505,0.613715,-19.7976,0.021094,Cr7Mo6Nb6V7W6C32,-633.524,639.47,3.02%,2.24%,0.36%
CrMoNbVZr,20.82625,460.623,134.515,154.047,243.2177,157.6498,157.5277,157.5887,388.7952,0.233575,20.19972,0.000387,324.7347,0.647933,-19.2688,0.035682,Cr7Mo6Nb6V7Zr6C32,-616.603,666.44,4.98%,5.33%,3.97%
CrMoNbWZr,21.58313,476.751,139.821,130.351,252.131,145.5966,143.3212,144.4589,363.8812,0.259463,16.51456,0.007876,318.4473,0.572952,-19.9294,0.029494,Cr7Mo6Nb6W7Zr6C32,-637.74,690.66,1.89%,1.88%,0.42%
